"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0010458","GO:0010458","exit from mitosis","1/105","29/18723",0.150590907823661,0.3253112468237,0.285513751269001,"RPL24",1
"GO:0010955","GO:0010955","negative regulation of protein processing","1/105","29/18723",0.150590907823661,0.3253112468237,0.285513751269001,"PRNP",1
"GO:0015868","GO:0015868","purine ribonucleotide transport","1/105","29/18723",0.150590907823661,0.3253112468237,0.285513751269001,"SLC25A6",1
"GO:0021522","GO:0021522","spinal cord motor neuron differentiation","1/105","29/18723",0.150590907823661,0.3253112468237,0.285513751269001,"LMO4",1
"GO:0031069","GO:0031069","hair follicle morphogenesis","1/105","29/18723",0.150590907823661,0.3253112468237,0.285513751269001,"TP63",1
"GO:0032366","GO:0032366","intracellular sterol transport","1/105","29/18723",0.150590907823661,0.3253112468237,0.285513751269001,"NPC2",1
"GO:0032367","GO:0032367","intracellular cholesterol transport","1/105","29/18723",0.150590907823661,0.3253112468237,0.285513751269001,"NPC2",1
"GO:0035066","GO:0035066","positive regulation of histone acetylation","1/105","29/18723",0.150590907823661,0.3253112468237,0.285513751269001,"MUC1",1
"GO:0090025","GO:0090025","regulation of monocyte chemotaxis","1/105","29/18723",0.150590907823661,0.3253112468237,0.285513751269001,"HMGB1",1
"GO:1902175","GO:1902175","regulation of oxidative stress-induced intrinsic apoptotic signaling pathway","1/105","29/18723",0.150590907823661,0.3253112468237,0.285513751269001,"P4HB",1
"GO:1902230","GO:1902230","negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage","1/105","29/18723",0.150590907823661,0.3253112468237,0.285513751269001,"MUC1",1
"GO:1902430","GO:1902430","negative regulation of amyloid-beta formation","1/105","29/18723",0.150590907823661,0.3253112468237,0.285513751269001,"PRNP",1
"GO:1903318","GO:1903318","negative regulation of protein maturation","1/105","29/18723",0.150590907823661,0.3253112468237,0.285513751269001,"PRNP",1
"GO:1903902","GO:1903902","positive regulation of viral life cycle","1/105","29/18723",0.150590907823661,0.3253112468237,0.285513751269001,"P4HB",1
"GO:0001701","GO:0001701","in utero embryonic development","4/105","367/18723",0.151273696831367,0.325842669401923,0.285980161377164,"CCN1/RPL13/EIF2S2/JUNB",4
"GO:0009615","GO:0009615","response to virus","4/105","367/18723",0.151273696831367,0.325842669401923,0.285980161377164,"BPIFA1/RSAD2/EIF5A/NPC2",4
"GO:0051271","GO:0051271","negative regulation of cellular component movement","4/105","367/18723",0.151273696831367,0.325842669401923,0.285980161377164,"HMGB1/TPM1/SFRP1/DNAJA4",4
"GO:0050851","GO:0050851","antigen receptor-mediated signaling pathway","3/105","240/18723",0.152147722525918,0.327147871227836,0.287125689154387,"PRNP/CD81/RPS3",3
"GO:0009150","GO:0009150","purine ribonucleotide metabolic process","4/105","368/18723",0.15231817775666,0.327147871227836,0.287125689154387,"SULT1E1/ATP5F1B/TPI1/NME2",4
"GO:0071692","GO:0071692","protein localization to extracellular region","4/105","368/18723",0.15231817775666,0.327147871227836,0.287125689154387,"WLS/RSAD2/SFRP1/LTBP2",4
"GO:0009132","GO:0009132","nucleoside diphosphate metabolic process","2/105","124/18723",0.153548777343654,0.32831923265676,0.288153750123472,"TPI1/NME2",2
"GO:1903320","GO:1903320","regulation of protein modification by small protein conjugation or removal","3/105","242/18723",0.154807678614712,0.32831923265676,0.288153750123472,"EGR1/RPL5/RPS3",3
"GO:0006221","GO:0006221","pyrimidine nucleotide biosynthetic process","1/105","30/18723",0.155361847947685,0.32831923265676,0.288153750123472,"NME2",1
"GO:0010453","GO:0010453","regulation of cell fate commitment","1/105","30/18723",0.155361847947685,0.32831923265676,0.288153750123472,"LMO4",1
"GO:0015865","GO:0015865","purine nucleotide transport","1/105","30/18723",0.155361847947685,0.32831923265676,0.288153750123472,"SLC25A6",1
"GO:0031571","GO:0031571","mitotic G1 DNA damage checkpoint signaling","1/105","30/18723",0.155361847947685,0.32831923265676,0.288153750123472,"MUC1",1
"GO:0033137","GO:0033137","negative regulation of peptidyl-serine phosphorylation","1/105","30/18723",0.155361847947685,0.32831923265676,0.288153750123472,"RACK1",1
"GO:0034694","GO:0034694","response to prostaglandin","1/105","30/18723",0.155361847947685,0.32831923265676,0.288153750123472,"SFRP1",1
"GO:0043032","GO:0043032","positive regulation of macrophage activation","1/105","30/18723",0.155361847947685,0.32831923265676,0.288153750123472,"IL33",1
"GO:0044030","GO:0044030","regulation of DNA methylation","1/105","30/18723",0.155361847947685,0.32831923265676,0.288153750123472,"MYC",1
"GO:0045577","GO:0045577","regulation of B cell differentiation","1/105","30/18723",0.155361847947685,0.32831923265676,0.288153750123472,"SFRP1",1
"GO:0048240","GO:0048240","sperm capacitation","1/105","30/18723",0.155361847947685,0.32831923265676,0.288153750123472,"DEFB1",1
"GO:0050858","GO:0050858","negative regulation of antigen receptor-mediated signaling pathway","1/105","30/18723",0.155361847947685,0.32831923265676,0.288153750123472,"PRNP",1
"GO:0060218","GO:0060218","hematopoietic stem cell differentiation","1/105","30/18723",0.155361847947685,0.32831923265676,0.288153750123472,"SFRP1",1
"GO:0090314","GO:0090314","positive regulation of protein targeting to membrane","1/105","30/18723",0.155361847947685,0.32831923265676,0.288153750123472,"PRNP",1
"GO:1900101","GO:1900101","regulation of endoplasmic reticulum unfolded protein response","1/105","30/18723",0.155361847947685,0.32831923265676,0.288153750123472,"RACK1",1
"GO:0051053","GO:0051053","negative regulation of DNA metabolic process","2/105","125/18723",0.155504194198466,0.32831923265676,0.288153750123472,"HNRNPA1/RPS3",2
"GO:1904375","GO:1904375","regulation of protein localization to cell periphery","2/105","125/18723",0.155504194198466,0.32831923265676,0.288153750123472,"PRNP/RACK1",2
"GO:0032874","GO:0032874","positive regulation of stress-activated MAPK cascade","2/105","126/18723",0.157464463660851,0.332144646251634,0.291511175347137,"CCN2/HMGB1",2
"GO:0030048","GO:0030048","actin filament-based movement","2/105","127/18723",0.159429471416125,0.332526821009038,0.291846596116299,"TPM1/DSP",2
"GO:0048565","GO:0048565","digestive tract development","2/105","127/18723",0.159429471416125,0.332526821009038,0.291846596116299,"SFRP1/TP63",2
"GO:0051224","GO:0051224","negative regulation of protein transport","2/105","127/18723",0.159429471416125,0.332526821009038,0.291846596116299,"RSAD2/SFRP1",2
"GO:0002253","GO:0002253","activation of immune response","4/105","375/18723",0.159706756567723,0.332526821009038,0.291846596116299,"PRNP/HMGB1/CD81/RPS3",4
"GO:0030201","GO:0030201","heparan sulfate proteoglycan metabolic process","1/105","31/18723",0.160106244564895,0.332526821009038,0.291846596116299,"HPSE",1
"GO:0035115","GO:0035115","embryonic forelimb morphogenesis","1/105","31/18723",0.160106244564895,0.332526821009038,0.291846596116299,"TP63",1
"GO:0036474","GO:0036474","cell death in response to hydrogen peroxide","1/105","31/18723",0.160106244564895,0.332526821009038,0.291846596116299,"RACK1",1
"GO:0036475","GO:0036475","neuron death in response to oxidative stress","1/105","31/18723",0.160106244564895,0.332526821009038,0.291846596116299,"RACK1",1
"GO:0044819","GO:0044819","mitotic G1/S transition checkpoint signaling","1/105","31/18723",0.160106244564895,0.332526821009038,0.291846596116299,"MUC1",1
"GO:0045987","GO:0045987","positive regulation of smooth muscle contraction","1/105","31/18723",0.160106244564895,0.332526821009038,0.291846596116299,"NPNT",1
"GO:0055075","GO:0055075","potassium ion homeostasis","1/105","31/18723",0.160106244564895,0.332526821009038,0.291846596116299,"ATP1B1",1
"GO:0060055","GO:0060055","angiogenesis involved in wound healing","1/105","31/18723",0.160106244564895,0.332526821009038,0.291846596116299,"HPSE",1
"GO:0061099","GO:0061099","negative regulation of protein tyrosine kinase activity","1/105","31/18723",0.160106244564895,0.332526821009038,0.291846596116299,"RACK1",1
"GO:0071480","GO:0071480","cellular response to gamma radiation","1/105","31/18723",0.160106244564895,0.332526821009038,0.291846596116299,"EGR1",1
"GO:0090183","GO:0090183","regulation of kidney development","1/105","31/18723",0.160106244564895,0.332526821009038,0.291846596116299,"MYC",1
"GO:1901797","GO:1901797","negative regulation of signal transduction by p53 class mediator","1/105","31/18723",0.160106244564895,0.332526821009038,0.291846596116299,"MUC1",1
"GO:0003007","GO:0003007","heart morphogenesis","3/105","246/18723",0.160171542916775,0.332526821009038,0.291846596116299,"CCN1/TPM1/DSP",3
"GO:0070304","GO:0070304","positive regulation of stress-activated protein kinase signaling cascade","2/105","128/18723",0.161399104256232,0.334764777873446,0.293810768784088,"CCN2/HMGB1",2
"GO:0007498","GO:0007498","mesoderm development","2/105","129/18723",0.163373250071124,0.337799137305738,0.296473914779412,"WLS/TP63",2
"GO:0050878","GO:0050878","regulation of body fluid levels","4/105","379/18723",0.163988025299666,0.337799137305738,0.296473914779412,"BPIFA1/HPSE/PABPC4/TP63",4
"GO:0043122","GO:0043122","regulation of I-kappaB kinase/NF-kappaB signaling","3/105","249/18723",0.164231763040383,0.337799137305738,0.296473914779412,"WLS/TGM2/TFRC",3
"GO:0045926","GO:0045926","negative regulation of growth","3/105","249/18723",0.164231763040383,0.337799137305738,0.296473914779412,"RACK1/BTG1/SFRP1",3
"GO:0007435","GO:0007435","salivary gland morphogenesis","1/105","32/18723",0.164824243940065,0.337799137305738,0.296473914779412,"TGM2",1
"GO:0009954","GO:0009954","proximal/distal pattern formation","1/105","32/18723",0.164824243940065,0.337799137305738,0.296473914779412,"TP63",1
"GO:0010644","GO:0010644","cell communication by electrical coupling","1/105","32/18723",0.164824243940065,0.337799137305738,0.296473914779412,"ATP1B1",1
"GO:0030511","GO:0030511","positive regulation of transforming growth factor beta receptor signaling pathway","1/105","32/18723",0.164824243940065,0.337799137305738,0.296473914779412,"NPNT",1
"GO:0045684","GO:0045684","positive regulation of epidermis development","1/105","32/18723",0.164824243940065,0.337799137305738,0.296473914779412,"NME2",1
"GO:0045879","GO:0045879","negative regulation of smoothened signaling pathway","1/105","32/18723",0.164824243940065,0.337799137305738,0.296473914779412,"RACK1",1
"GO:0061036","GO:0061036","positive regulation of cartilage development","1/105","32/18723",0.164824243940065,0.337799137305738,0.296473914779412,"CCN1",1
"GO:1903846","GO:1903846","positive regulation of cellular response to transforming growth factor beta stimulus","1/105","32/18723",0.164824243940065,0.337799137305738,0.296473914779412,"NPNT",1
"GO:2000515","GO:2000515","negative regulation of CD4-positive, alpha-beta T cell activation","1/105","32/18723",0.164824243940065,0.337799137305738,0.296473914779412,"HMGB1",1
"GO:0006282","GO:0006282","regulation of DNA repair","2/105","130/18723",0.165351797840208,0.33826080764752,0.296879105907658,"HMGB1/RPS3",2
"GO:0051028","GO:0051028","mRNA transport","2/105","130/18723",0.165351797840208,0.33826080764752,0.296879105907658,"HNRNPA1/EIF5A",2
"GO:0071560","GO:0071560","cellular response to transforming growth factor beta stimulus","3/105","250/18723",0.165592086739914,0.338443004679385,0.297039013560855,"SFRP1/LTBP2/NPNT",3
"GO:0000723","GO:0000723","telomere maintenance","2/105","131/18723",0.167334637623851,0.340859648756542,0.299160013442315,"HNRNPA1/MYC",2
"GO:1904950","GO:1904950","negative regulation of establishment of protein localization","2/105","131/18723",0.167334637623851,0.340859648756542,0.299160013442315,"RSAD2/SFRP1",2
"GO:0061448","GO:0061448","connective tissue development","3/105","252/18723",0.168322894256097,0.340859648756542,0.299160013442315,"EGR1/CCN1/CCN2",3
"GO:0072175","GO:0072175","epithelial tube formation","2/105","132/18723",0.169321660554942,0.340859648756542,0.299160013442315,"SFRP1/LMO4",2
"GO:0001975","GO:0001975","response to amphetamine","1/105","33/18723",0.169515991539781,0.340859648756542,0.299160013442315,"NR4A1",1
"GO:0006536","GO:0006536","glutamate metabolic process","1/105","33/18723",0.169515991539781,0.340859648756542,0.299160013442315,"OAT",1
"GO:0010165","GO:0010165","response to X-ray","1/105","33/18723",0.169515991539781,0.340859648756542,0.299160013442315,"SFRP1",1
"GO:0031116","GO:0031116","positive regulation of microtubule polymerization","1/105","33/18723",0.169515991539781,0.340859648756542,0.299160013442315,"RPS3",1
"GO:0032633","GO:0032633","interleukin-4 production","1/105","33/18723",0.169515991539781,0.340859648756542,0.299160013442315,"SCGB1A1",1
"GO:0032673","GO:0032673","regulation of interleukin-4 production","1/105","33/18723",0.169515991539781,0.340859648756542,0.299160013442315,"SCGB1A1",1
"GO:0036336","GO:0036336","dendritic cell migration","1/105","33/18723",0.169515991539781,0.340859648756542,0.299160013442315,"HMGB1",1
"GO:0046685","GO:0046685","response to arsenic-containing substance","1/105","33/18723",0.169515991539781,0.340859648756542,0.299160013442315,"HNRNPA1",1
"GO:0048730","GO:0048730","epidermis morphogenesis","1/105","33/18723",0.169515991539781,0.340859648756542,0.299160013442315,"TP63",1
"GO:0060260","GO:0060260","regulation of transcription initiation from RNA polymerase II promoter","1/105","33/18723",0.169515991539781,0.340859648756542,0.299160013442315,"HMGB1",1
"GO:0071295","GO:0071295","cellular response to vitamin","1/105","33/18723",0.169515991539781,0.340859648756542,0.299160013442315,"SFRP1",1
"GO:0071353","GO:0071353","cellular response to interleukin-4","1/105","33/18723",0.169515991539781,0.340859648756542,0.299160013442315,"RPLP0",1
"GO:0150117","GO:0150117","positive regulation of cell-substrate junction organization","1/105","33/18723",0.169515991539781,0.340859648756542,0.299160013442315,"SFRP1",1
"GO:1902992","GO:1902992","negative regulation of amyloid precursor protein catabolic process","1/105","33/18723",0.169515991539781,0.340859648756542,0.299160013442315,"PRNP",1
"GO:0009259","GO:0009259","ribonucleotide metabolic process","4/105","385/18723",0.170487872757388,0.34104854986723,0.299325805019638,"SULT1E1/ATP5F1B/TPI1/NME2",4
"GO:0045786","GO:0045786","negative regulation of cell cycle","4/105","385/18723",0.170487872757388,0.34104854986723,0.299325805019638,"BTG2/BTG1/NR4A1/MUC1",4
"GO:0010595","GO:0010595","positive regulation of endothelial cell migration","2/105","133/18723",0.171312758830518,0.34104854986723,0.299325805019638,"ATP5F1B/HMGB1",2
"GO:0006338","GO:0006338","chromatin remodeling","3/105","255/18723",0.17244396884285,0.34104854986723,0.299325805019638,"CBX3/MYC/TP63",3
"GO:0043547","GO:0043547","positive regulation of GTPase activity","3/105","255/18723",0.17244396884285,0.34104854986723,0.299325805019638,"RACK1/TGM2/SFRP1",3
"GO:0051924","GO:0051924","regulation of calcium ion transport","3/105","255/18723",0.17244396884285,0.34104854986723,0.299325805019638,"ATP1B1/RRAD/PRNP",3
"GO:0001508","GO:0001508","action potential","2/105","134/18723",0.173307825703444,0.34104854986723,0.299325805019638,"ATP1B1/DSP",2
"GO:0032147","GO:0032147","activation of protein kinase activity","2/105","134/18723",0.173307825703444,0.34104854986723,0.299325805019638,"PRNP/HMGB1",2
"GO:0061041","GO:0061041","regulation of wound healing","2/105","134/18723",0.173307825703444,0.34104854986723,0.299325805019638,"HPSE/HMGB1",2
"GO:0034976","GO:0034976","response to endoplasmic reticulum stress","3/105","256/18723",0.173824147720911,0.34104854986723,0.299325805019638,"P4HB/RACK1/NIBAN1",3
"GO:0071559","GO:0071559","response to transforming growth factor beta","3/105","256/18723",0.173824147720911,0.34104854986723,0.299325805019638,"SFRP1/LTBP2/NPNT",3
"GO:0090092","GO:0090092","regulation of transmembrane receptor protein serine/threonine kinase signaling pathway","3/105","256/18723",0.173824147720911,0.34104854986723,0.299325805019638,"CCN1/SFRP1/NPNT",3
"GO:0000096","GO:0000096","sulfur amino acid metabolic process","1/105","34/18723",0.174181632036749,0.34104854986723,0.299325805019638,"MPST",1
"GO:0006356","GO:0006356","regulation of transcription by RNA polymerase I","1/105","34/18723",0.174181632036749,0.34104854986723,0.299325805019638,"NCL",1
"GO:0007616","GO:0007616","long-term memory","1/105","34/18723",0.174181632036749,0.34104854986723,0.299325805019638,"PRNP",1
"GO:0009303","GO:0009303","rRNA transcription","1/105","34/18723",0.174181632036749,0.34104854986723,0.299325805019638,"NCL",1
"GO:0010922","GO:0010922","positive regulation of phosphatase activity","1/105","34/18723",0.174181632036749,0.34104854986723,0.299325805019638,"NPNT",1
"GO:0032212","GO:0032212","positive regulation of telomere maintenance via telomerase","1/105","34/18723",0.174181632036749,0.34104854986723,0.299325805019638,"HNRNPA1",1
"GO:0032743","GO:0032743","positive regulation of interleukin-2 production","1/105","34/18723",0.174181632036749,0.34104854986723,0.299325805019638,"RPS3",1
"GO:0035137","GO:0035137","hindlimb morphogenesis","1/105","34/18723",0.174181632036749,0.34104854986723,0.299325805019638,"TP63",1
"GO:0044319","GO:0044319","wound healing, spreading of cells","1/105","34/18723",0.174181632036749,0.34104854986723,0.299325805019638,"CCN1",1
"GO:0050869","GO:0050869","negative regulation of B cell activation","1/105","34/18723",0.174181632036749,0.34104854986723,0.299325805019638,"SFRP1",1
"GO:0051482","GO:0051482","positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G protein-coupled signaling pathway","1/105","34/18723",0.174181632036749,0.34104854986723,0.299325805019638,"TGM2",1
"GO:0051973","GO:0051973","positive regulation of telomerase activity","1/105","34/18723",0.174181632036749,0.34104854986723,0.299325805019638,"MYC",1
"GO:0055094","GO:0055094","response to lipoprotein particle","1/105","34/18723",0.174181632036749,0.34104854986723,0.299325805019638,"CD81",1
"GO:0070884","GO:0070884","regulation of calcineurin-NFAT signaling cascade","1/105","34/18723",0.174181632036749,0.34104854986723,0.299325805019638,"PRNP",1
"GO:0086004","GO:0086004","regulation of cardiac muscle cell contraction","1/105","34/18723",0.174181632036749,0.34104854986723,0.299325805019638,"DSP",1
"GO:0090075","GO:0090075","relaxation of muscle","1/105","34/18723",0.174181632036749,0.34104854986723,0.299325805019638,"ATP1B1",1
"GO:0090505","GO:0090505","epiboly involved in wound healing","1/105","34/18723",0.174181632036749,0.34104854986723,0.299325805019638,"CCN1",1
"GO:2000758","GO:2000758","positive regulation of peptidyl-lysine acetylation","1/105","34/18723",0.174181632036749,0.34104854986723,0.299325805019638,"MUC1",1
"GO:0002687","GO:0002687","positive regulation of leukocyte migration","2/105","135/18723",0.175306755474155,0.342951502404859,0.300995956675352,"HMGB1/IL1R1",2
"GO:0040013","GO:0040013","negative regulation of locomotion","4/105","391/18723",0.17707803928141,0.343521107506371,0.301495878183947,"HMGB1/TPM1/SFRP1/DNAJA4",4
"GO:0043401","GO:0043401","steroid hormone mediated signaling pathway","2/105","136/18723",0.177309443482453,0.343521107506371,0.301495878183947,"SFRP1/TP63",2
"GO:0098876","GO:0098876","vesicle-mediated transport to the plasma membrane","2/105","136/18723",0.177309443482453,0.343521107506371,0.301495878183947,"CLSTN1/RACK1",2
"GO:0001893","GO:0001893","maternal placenta development","1/105","35/18723",0.178821309314085,0.343521107506371,0.301495878183947,"JUNB",1
"GO:0006298","GO:0006298","mismatch repair","1/105","35/18723",0.178821309314085,0.343521107506371,0.301495878183947,"HMGB1",1
"GO:0006471","GO:0006471","protein ADP-ribosylation","1/105","35/18723",0.178821309314085,0.343521107506371,0.301495878183947,"WARS1",1
"GO:0010765","GO:0010765","positive regulation of sodium ion transport","1/105","35/18723",0.178821309314085,0.343521107506371,0.301495878183947,"ATP1B1",1
"GO:0010837","GO:0010837","regulation of keratinocyte proliferation","1/105","35/18723",0.178821309314085,0.343521107506371,0.301495878183947,"TP63",1
"GO:0032205","GO:0032205","negative regulation of telomere maintenance","1/105","35/18723",0.178821309314085,0.343521107506371,0.301495878183947,"HNRNPA1",1
"GO:0032350","GO:0032350","regulation of hormone metabolic process","1/105","35/18723",0.178821309314085,0.343521107506371,0.301495878183947,"EGR1",1
"GO:0033146","GO:0033146","regulation of intracellular estrogen receptor signaling pathway","1/105","35/18723",0.178821309314085,0.343521107506371,0.301495878183947,"TP63",1
"GO:0033280","GO:0033280","response to vitamin D","1/105","35/18723",0.178821309314085,0.343521107506371,0.301495878183947,"SFRP1",1
"GO:0043243","GO:0043243","positive regulation of protein-containing complex disassembly","1/105","35/18723",0.178821309314085,0.343521107506371,0.301495878183947,"EIF5A",1
"GO:0044273","GO:0044273","sulfur compound catabolic process","1/105","35/18723",0.178821309314085,0.343521107506371,0.301495878183947,"MPST",1
"GO:0045880","GO:0045880","positive regulation of smoothened signaling pathway","1/105","35/18723",0.178821309314085,0.343521107506371,0.301495878183947,"SFRP1",1
"GO:0046640","GO:0046640","regulation of alpha-beta T cell proliferation","1/105","35/18723",0.178821309314085,0.343521107506371,0.301495878183947,"CD81",1
"GO:0072528","GO:0072528","pyrimidine-containing compound biosynthetic process","1/105","35/18723",0.178821309314085,0.343521107506371,0.301495878183947,"NME2",1
"GO:0086005","GO:0086005","ventricular cardiac muscle cell action potential","1/105","35/18723",0.178821309314085,0.343521107506371,0.301495878183947,"DSP",1
"GO:0090504","GO:0090504","epiboly","1/105","35/18723",0.178821309314085,0.343521107506371,0.301495878183947,"CCN1",1
"GO:0097421","GO:0097421","liver regeneration","1/105","35/18723",0.178821309314085,0.343521107506371,0.301495878183947,"RPL19",1
"GO:0106056","GO:0106056","regulation of calcineurin-mediated signaling","1/105","35/18723",0.178821309314085,0.343521107506371,0.301495878183947,"PRNP",1
"GO:0034754","GO:0034754","cellular hormone metabolic process","2/105","137/18723",0.179315786099364,0.344175582581799,0.302070286956228,"EGR1/SULT1E1",2
"GO:0007224","GO:0007224","smoothened signaling pathway","2/105","138/18723",0.181325680719053,0.346437048572942,0.304055092722407,"RACK1/SFRP1",2
"GO:0031330","GO:0031330","negative regulation of cellular catabolic process","3/105","262/18723",0.182170848816681,0.346437048572942,0.304055092722407,"RPL5/CIRBP/TIMP3",3
"GO:0006163","GO:0006163","purine nucleotide metabolic process","4/105","396/18723",0.182636208155988,0.346437048572942,0.304055092722407,"SULT1E1/ATP5F1B/TPI1/NME2",4
"GO:0019693","GO:0019693","ribose phosphate metabolic process","4/105","396/18723",0.182636208155988,0.346437048572942,0.304055092722407,"SULT1E1/ATP5F1B/TPI1/NME2",4
"GO:0045598","GO:0045598","regulation of fat cell differentiation","2/105","139/18723",0.183339025750788,0.346437048572942,0.304055092722407,"SULT1E1/SFRP1",2
"GO:0002691","GO:0002691","regulation of cellular extravasation","1/105","36/18723",0.183435166469587,0.346437048572942,0.304055092722407,"IL1R1",1
"GO:0003230","GO:0003230","cardiac atrium development","1/105","36/18723",0.183435166469587,0.346437048572942,0.304055092722407,"CCN1",1
"GO:0003352","GO:0003352","regulation of cilium movement","1/105","36/18723",0.183435166469587,0.346437048572942,0.304055092722407,"DEFB1",1
"GO:0008207","GO:0008207","C21-steroid hormone metabolic process","1/105","36/18723",0.183435166469587,0.346437048572942,0.304055092722407,"EGR1",1
"GO:0030224","GO:0030224","monocyte differentiation","1/105","36/18723",0.183435166469587,0.346437048572942,0.304055092722407,"MYC",1
"GO:0045191","GO:0045191","regulation of isotype switching","1/105","36/18723",0.183435166469587,0.346437048572942,0.304055092722407,"TFRC",1
"GO:0045738","GO:0045738","negative regulation of DNA repair","1/105","36/18723",0.183435166469587,0.346437048572942,0.304055092722407,"RPS3",1
"GO:0051385","GO:0051385","response to mineralocorticoid","1/105","36/18723",0.183435166469587,0.346437048572942,0.304055092722407,"CCN2",1
"GO:0070670","GO:0070670","response to interleukin-4","1/105","36/18723",0.183435166469587,0.346437048572942,0.304055092722407,"RPLP0",1
"GO:0070873","GO:0070873","regulation of glycogen metabolic process","1/105","36/18723",0.183435166469587,0.346437048572942,0.304055092722407,"HMGB1",1
"GO:0070897","GO:0070897","transcription preinitiation complex assembly","1/105","36/18723",0.183435166469587,0.346437048572942,0.304055092722407,"HMGB1",1
"GO:0071402","GO:0071402","cellular response to lipoprotein particle stimulus","1/105","36/18723",0.183435166469587,0.346437048572942,0.304055092722407,"CD81",1
"GO:0090313","GO:0090313","regulation of protein targeting to membrane","1/105","36/18723",0.183435166469587,0.346437048572942,0.304055092722407,"PRNP",1
"GO:1903539","GO:1903539","protein localization to postsynaptic membrane","1/105","36/18723",0.183435166469587,0.346437048572942,0.304055092722407,"CLSTN1",1
"GO:0015748","GO:0015748","organophosphate ester transport","2/105","140/18723",0.185355720610976,0.349474391514208,0.306720857234144,"NPC2/SLC25A6",2
"GO:0030177","GO:0030177","positive regulation of Wnt signaling pathway","2/105","140/18723",0.185355720610976,0.349474391514208,0.306720857234144,"WLS/SFRP1",2
"GO:0030522","GO:0030522","intracellular receptor signaling pathway","3/105","265/18723",0.186384796735216,0.350956003290328,0.30802121355522,"SFRP1/NR4A1/TP63",3
"GO:0008584","GO:0008584","male gonad development","2/105","141/18723",0.187375665715239,0.350956003290328,0.30802121355522,"EIF2S2/SFRP1",2
"GO:0006862","GO:0006862","nucleotide transport","1/105","37/18723",0.188023345819975,0.350956003290328,0.30802121355522,"SLC25A6",1
"GO:0030513","GO:0030513","positive regulation of BMP signaling pathway","1/105","37/18723",0.188023345819975,0.350956003290328,0.30802121355522,"CCN1",1
"GO:0031112","GO:0031112","positive regulation of microtubule polymerization or depolymerization","1/105","37/18723",0.188023345819975,0.350956003290328,0.30802121355522,"RPS3",1
"GO:0043403","GO:0043403","skeletal muscle tissue regeneration","1/105","37/18723",0.188023345819975,0.350956003290328,0.30802121355522,"CD81",1
"GO:0048009","GO:0048009","insulin-like growth factor receptor signaling pathway","1/105","37/18723",0.188023345819975,0.350956003290328,0.30802121355522,"IGFBP2",1
"GO:0060416","GO:0060416","response to growth hormone","1/105","37/18723",0.188023345819975,0.350956003290328,0.30802121355522,"NME2",1
"GO:0062237","GO:0062237","protein localization to postsynapse","1/105","37/18723",0.188023345819975,0.350956003290328,0.30802121355522,"CLSTN1",1
"GO:0071542","GO:0071542","dopaminergic neuron differentiation","1/105","37/18723",0.188023345819975,0.350956003290328,0.30802121355522,"SFRP1",1
"GO:0090218","GO:0090218","positive regulation of lipid kinase activity","1/105","37/18723",0.188023345819975,0.350956003290328,0.30802121355522,"CD81",1
"GO:1904358","GO:1904358","positive regulation of telomere maintenance via telomere lengthening","1/105","37/18723",0.188023345819975,0.350956003290328,0.30802121355522,"HNRNPA1",1
"GO:0032412","GO:0032412","regulation of ion transmembrane transporter activity","3/105","267/18723",0.189208486261326,0.352640957079116,0.309500035703697,"ATP1B1/RRAD/PRNP",3
"GO:0046546","GO:0046546","development of primary male sexual characteristics","2/105","142/18723",0.189398762470553,0.352640957079116,0.309500035703697,"EIF2S2/SFRP1",2
"GO:2000045","GO:2000045","regulation of G1/S transition of mitotic cell cycle","2/105","142/18723",0.189398762470553,0.352640957079116,0.309500035703697,"PSME1/MUC1",2
"GO:0050708","GO:0050708","regulation of protein secretion","3/105","268/18723",0.190624543327109,0.353864895869987,0.310574241895205,"WLS/RSAD2/SFRP1",3
"GO:0038061","GO:0038061","NIK/NF-kappaB signaling","2/105","143/18723",0.191424913267446,0.353864895869987,0.310574241895205,"HMGB1/RPS3",2
"GO:0001825","GO:0001825","blastocyst formation","1/105","38/18723",0.192585988905114,0.353864895869987,0.310574241895205,"JUNB",1
"GO:0002385","GO:0002385","mucosal immune response","1/105","38/18723",0.192585988905114,0.353864895869987,0.310574241895205,"DEFB1",1
"GO:0008210","GO:0008210","estrogen metabolic process","1/105","38/18723",0.192585988905114,0.353864895869987,0.310574241895205,"SULT1E1",1
"GO:0010719","GO:0010719","negative regulation of epithelial to mesenchymal transition","1/105","38/18723",0.192585988905114,0.353864895869987,0.310574241895205,"SFRP1",1
"GO:0030279","GO:0030279","negative regulation of ossification","1/105","38/18723",0.192585988905114,0.353864895869987,0.310574241895205,"SFRP1",1
"GO:0035136","GO:0035136","forelimb morphogenesis","1/105","38/18723",0.192585988905114,0.353864895869987,0.310574241895205,"TP63",1
"GO:0046329","GO:0046329","negative regulation of JNK cascade","1/105","38/18723",0.192585988905114,0.353864895869987,0.310574241895205,"SFRP1",1
"GO:0046633","GO:0046633","alpha-beta T cell proliferation","1/105","38/18723",0.192585988905114,0.353864895869987,0.310574241895205,"CD81",1
